id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
1a3c136e0ec3b188,sec.micron.gross_profit.q,USD,2008-12-04,2010-01-12,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-10-000019"", ""end"": ""2008-12-04"", ""filed"": ""2010-01-12"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2008Q4"", ""fy"": 2010, ""start"": ""2008-08-29"", ""val"": -449000000}}",-449000000.0,,,,2008-08-29,micron,,,False,,,approved,,
efc2aecd2680b051,sec.micron.gross_profit.q,USD,2009-12-03,2011-10-25,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-11-000189"", ""end"": ""2009-12-03"", ""filed"": ""2011-10-25"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2009Q4"", ""fy"": 2011, ""start"": ""2009-09-04"", ""val"": 443000000}}",443000000.0,,,,2009-09-04,micron,,,False,,,approved,,
2490bf82f777c58a,sec.micron.gross_profit.q,USD,2010-03-04,2011-10-25,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-11-000189"", ""end"": ""2010-03-04"", ""filed"": ""2011-10-25"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2010Q1"", ""fy"": 2011, ""start"": ""2009-12-04"", ""val"": 642000000}}",642000000.0,,,,2009-12-04,micron,,,False,,,approved,,
0e3dba0d5d82c0a7,sec.micron.gross_profit.q,USD,2010-06-03,2011-10-25,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-11-000189"", ""end"": ""2010-06-03"", ""filed"": ""2011-10-25"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2010Q2"", ""fy"": 2011, ""start"": ""2010-03-05"", ""val"": 848000000}}",848000000.0,,,,2010-03-05,micron,,,False,,,approved,,
e3f9cb9be51c1b4c,sec.micron.gross_profit.q,USD,2010-09-02,2011-10-25,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-11-000189"", ""end"": ""2010-09-02"", ""filed"": ""2011-10-25"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2010Q3"", ""fy"": 2011, ""start"": ""2010-06-04"", ""val"": 781000000}}",781000000.0,,,,2010-06-04,micron,,,False,,,approved,,
43a8caf0b38e92ef,sec.micron.gross_profit.q,USD,2010-12-02,2012-10-29,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-12-000156"", ""end"": ""2010-12-02"", ""filed"": ""2012-10-29"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2010Q4"", ""fy"": 2012, ""start"": ""2010-09-03"", ""val"": 524000000}}",524000000.0,,,,2010-09-03,micron,,,False,,,approved,,
ba7b5ac10e7c409b,sec.micron.gross_profit.q,USD,2011-03-03,2012-10-29,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-12-000156"", ""end"": ""2011-03-03"", ""filed"": ""2012-10-29"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2011Q1"", ""fy"": 2012, ""start"": ""2010-12-03"", ""val"": 435000000}}",435000000.0,,,,2010-12-03,micron,,,False,,,approved,,
3c976da6df1462e9,sec.micron.gross_profit.q,USD,2011-06-02,2012-10-29,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-12-000156"", ""end"": ""2011-06-02"", ""filed"": ""2012-10-29"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2011Q2"", ""fy"": 2012, ""start"": ""2011-03-04"", ""val"": 478000000}}",478000000.0,,,,2011-03-04,micron,,,False,,,approved,,
689c68a7e2132105,sec.micron.gross_profit.q,USD,2011-09-01,2012-10-29,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-12-000156"", ""end"": ""2011-09-01"", ""filed"": ""2012-10-29"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2011Q3"", ""fy"": 2012, ""start"": ""2011-06-03"", ""val"": 321000000}}",321000000.0,,,,2011-06-03,micron,,,False,,,approved,,
a338c9e7cd7542fa,sec.micron.gross_profit.q,USD,2012-11-29,2014-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-14-000195"", ""end"": ""2012-11-29"", ""filed"": ""2014-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2012Q4"", ""fy"": 2014, ""start"": ""2012-08-31"", ""val"": 217000000}}",217000000.0,,,,2012-08-31,micron,,,False,,,approved,,
74a9233ad8848842,sec.micron.gross_profit.q,USD,2013-02-28,2014-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-14-000195"", ""end"": ""2013-02-28"", ""filed"": ""2014-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2013Q1"", ""fy"": 2014, ""start"": ""2012-11-30"", ""val"": 366000000}}",366000000.0,,,,2012-11-30,micron,,,False,,,approved,,
6b6deea7351e979c,sec.micron.gross_profit.q,USD,2013-05-30,2014-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-14-000195"", ""end"": ""2013-05-30"", ""filed"": ""2014-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2013Q2"", ""fy"": 2014, ""start"": ""2013-03-01"", ""val"": 556000000}}",556000000.0,,,,2013-03-01,micron,,,False,,,approved,,
049b07e53c6cb130,sec.micron.gross_profit.q,USD,2013-08-29,2014-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-14-000195"", ""end"": ""2013-08-29"", ""filed"": ""2014-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2013Q3"", ""fy"": 2014, ""start"": ""2013-05-31"", ""val"": 708000000}}",708000000.0,,,,2013-05-31,micron,,,False,,,approved,,
78d86bdfecd6cc79,sec.micron.gross_profit.q,USD,2013-11-28,2015-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-15-000112"", ""end"": ""2013-11-28"", ""filed"": ""2015-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2013Q4"", ""fy"": 2015, ""start"": ""2013-08-30"", ""val"": 1281000000}}",1281000000.0,,,,2013-08-30,micron,,,False,,,approved,,
1ccc1d47b7c530d9,sec.micron.gross_profit.q,USD,2014-02-27,2015-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-15-000112"", ""end"": ""2014-02-27"", ""filed"": ""2015-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2014Q1"", ""fy"": 2015, ""start"": ""2013-11-29"", ""val"": 1403000000}}",1403000000.0,,,,2013-11-29,micron,,,False,,,approved,,
d4feb7dc910ffb1f,sec.micron.gross_profit.q,USD,2014-05-29,2015-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-15-000112"", ""end"": ""2014-05-29"", ""filed"": ""2015-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2014Q2"", ""fy"": 2015, ""start"": ""2014-02-28"", ""val"": 1368000000}}",1368000000.0,,,,2014-02-28,micron,,,False,,,approved,,
ad77ac750ed092aa,sec.micron.gross_profit.q,USD,2014-08-28,2015-10-27,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-15-000112"", ""end"": ""2014-08-28"", ""filed"": ""2015-10-27"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2014Q3"", ""fy"": 2015, ""start"": ""2014-05-30"", ""val"": 1385000000}}",1385000000.0,,,,2014-05-30,micron,,,False,,,approved,,
d7df0d16212cf5cc,sec.micron.gross_profit.q,USD,2015-12-03,2017-10-26,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-17-000131"", ""end"": ""2015-12-03"", ""filed"": ""2017-10-26"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2015Q4"", ""fy"": 2017, ""start"": ""2015-09-04"", ""val"": 849000000}}",849000000.0,,,,2015-09-04,micron,,,False,,,approved,,
f17a2aec3e544289,sec.micron.gross_profit.q,USD,2016-03-03,2017-10-26,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-17-000131"", ""end"": ""2016-03-03"", ""filed"": ""2017-10-26"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2016Q1"", ""fy"": 2017, ""start"": ""2015-12-04"", ""val"": 579000000}}",579000000.0,,,,2015-12-04,micron,,,False,,,approved,,
024e1bf7a9e3c803,sec.micron.gross_profit.q,USD,2016-06-02,2017-10-26,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-17-000131"", ""end"": ""2016-06-02"", ""filed"": ""2017-10-26"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2016Q2"", ""fy"": 2017, ""start"": ""2016-03-04"", ""val"": 498000000}}",498000000.0,,,,2016-03-04,micron,,,False,,,approved,,
0c99da5a6466b169,sec.micron.gross_profit.q,USD,2016-09-01,2017-10-26,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-17-000131"", ""end"": ""2016-09-01"", ""filed"": ""2017-10-26"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2016Q3"", ""fy"": 2017, ""start"": ""2016-06-03"", ""val"": 579000000}}",579000000.0,,,,2016-06-03,micron,,,False,,,approved,,
78fdae7721148647,sec.micron.gross_profit.q,USD,2016-12-01,2018-10-15,2026-09-11T10:55:11.906893Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0000723125-18-000092"", ""end"": ""2016-12-01"", ""filed"": ""2018-10-15"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2016Q4"", ""fy"": 2018, ""start"": ""2016-09-02"", ""val"": 1011000000}}",1011000000.0,,,,2016-09-02,micron,,,False,,,approved,,
